parameter,alias,value_range,temporal,wms_url,opendap_url
sea_water_velocity,Sea water velocity,"0,1",daily,https://nrt.cmems-du.eu/thredds/wms/global-analysis-forecast-phy-001-024,https://nrt.cmems-du.eu/thredds/dodsC/global-analysis-forecast-phy-001-024
sea_water_velocity,Sea water velocity,"0,1",monthly,https://nrt.cmems-du.eu/thredds/wms/global-analysis-forecast-phy-001-024-monthly,https://nrt.cmems-du.eu/thredds/dodsC/global-analysis-forecast-phy-001-024-monthly
thetao,Sea water potential temperature,"10,40",daily,https://nrt.cmems-du.eu/thredds/wms/global-analysis-forecast-phy-001-024,https://nrt.cmems-du.eu/thredds/dodsC/global-analysis-forecast-phy-001-024
thetao,Sea water potential temperature,"10,40",monthly,https://nrt.cmems-du.eu/thredds/wms/global-analysis-forecast-phy-001-024-monthly,https://nrt.cmems-du.eu/thredds/dodsC/global-analysis-forecast-phy-001-024-monthly
so,Sea water salinity,"10,40",daily,https://nrt.cmems-du.eu/thredds/wms/global-analysis-forecast-phy-001-024,https://nrt.cmems-du.eu/thredds/dodsC/global-analysis-forecast-phy-001-024
so,Sea water salinity,"10,40",monthly,https://nrt.cmems-du.eu/thredds/wms/global-analysis-forecast-phy-001-024-monthly,https://nrt.cmems-du.eu/thredds/dodsC/global-analysis-forecast-phy-001-024-monthly
chl,Mass concentration of chlorophyll a in sea water,"0.01,10",daily,https://nrt.cmems-du.eu/thredds/wms/global-analysis-forecast-bio-001-028-daily,https://nrt.cmems-du.eu/thredds/dodsC/global-analysis-forecast-bio-001-028-daily
chl,Mass concentration of chlorophyll a in sea water,"0.01,10",monthly,https://nrt.cmems-du.eu/thredds/wms/global-analysis-forecast-bio-001-028-monthly,https://nrt.cmems-du.eu/thredds/dodsC/global-analysis-forecast-bio-001-028-monthly
ph,Sea water ph reported on total scale,"5,9",daily,https://nrt.cmems-du.eu/thredds/wms/global-analysis-forecast-bio-001-028-daily,https://nrt.cmems-du.eu/thredds/dodsC/global-analysis-forecast-bio-001-028-daily
ph,Sea water ph reported on total scale,"5,9",monthly,https://nrt.cmems-du.eu/thredds/wms/global-analysis-forecast-bio-001-028-monthly,https://nrt.cmems-du.eu/thredds/dodsC/global-analysis-forecast-bio-001-028-monthly
ZSD,Secchi depth of sea water,"0,70",daily,https://nrt.cmems-du.eu/thredds/wms/dataset-oc-glo-opt-multi-l4-zsd_interpolated_4km_daily-rt,https://nrt.cmems-du.eu/thredds/dodsC/dataset-oc-glo-opt-multi-l4-zsd_interpolated_4km_daily-rt
ZSD,Secchi depth of sea water,"0,70",monthly,https://nrt.cmems-du.eu/thredds/wms/dataset-oc-glo-opt-multi-l4-zsd_4km_monthly-rt-v02,https://nrt.cmems-du.eu/thredds/dodsC/dataset-oc-glo-opt-multi-l4-zsd_4km_monthly-rt-v02
VHM0,Sea surface wave significant height,"0,3",3-hourly,https://nrt.cmems-du.eu/thredds/wms/global-analysis-forecast-wav-001-027,https://nrt.cmems-du.eu/thredds/dodsC/global-analysis-forecast-wav-001-027
